Biology_Words
 Autotroph 
 Cytokinesis 
 Eukaryote 
 Heterozygous 
 Hydrophilic 
 Oligosaccharide 
 Osteoblast 
 Tegmentum 
 Allotroph (allo - troph) 
 Angiostenosis (angio - stenosis) 
 Angiomyogenesis (angio - myo - genesis) 
 Angiostimulatory (angio - stimulatory) 
 Axonotrophy (axono - trophy) 
 Biotroph (bio - troph) 
 Bradytroph (brady - troph) 
 Cellulotrophy (cellulo - trophy) 
 Chemotrophy (chemo - trophy) 
 Electrotroph (electro - troph) 
 Necrotroph (necro - troph) 
 Oligotroph (oligo - troph) 
 Oxalotrophy (oxalo - trophy) 
